loc_code,location_node_id,print_label,qr_allowed
CHT,node_swamp_black,CHT - Chernaya Top,true
EAZ,node_fort_east,EAZ - Severnaya Zastava,true
FRE,node_res_forest,FRE - Forest Residence,true
HRE,node_res_hill,HRE - Hill Residence,true
KTG,node_well_city,KTG - Kolodezny Torg,true
LNZ,node_lake_south_pond,LNZ - Lunnaya Zavod,true
MAG,node_spanish_magic,MAG - Charodeysky Ugol,true
NRE,node_res_north,NRE - North Residence,true
NSD,node_forest_south_garden,NSD - Nizhny Sad,true
OAT,node_field_oats,OAT - Severnye Ovsy,true
RRE,node_res_river,RRE - River Residence,true
SCI,node_science_barn,SCI - Dvukhyarusnaya Manufaktura,true
SDO,node_mountain_gray,SDO - Sery Dozor,true
SKR,node_mountain_north_alpine,SKR - Severny Kryazh,true
SNP,node_village_barn,SNP - Sennoy Posad,true
TRV,node_forest_dark,TRV - Travnichya Roshcha,true
VSL,node_village_east_shed,VSL - Vostochnaya Sloboda,true
VUT,node_mountain_west_alpine,VUT - Volchy Utes,true
WOS,node_fort_west,WOS - Zapadny Ostrog,true
ZPR,node_lake_mist,ZPR - Zerkalny Prud,true
