qr_id,manual_code,quest_id,act_id,loc_code,location_node_id,qr_mode,consumption_rule,physical_presence_required,print_label,placement_note,take_policy,print_batch,status
qr_a1_001,QR-A1-TRV-001-K7Q2,quest_a1_001,act1,TRV,node_forest_dark,repeatable_scene,repeatable,true,TRV - Travnichya Roshcha,Разместить у игровой локации: TRV - Travnichya Roshcha.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_002,QR-A1-SNP-002-M4Y8,quest_a1_002,act1,SNP,node_village_barn,repeatable_scene,repeatable,true,SNP - Sennoy Posad,Разместить у игровой локации: SNP - Sennoy Posad.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_003,QR-A1-OAT-003-P9C3,quest_a1_003,act1,OAT,node_field_oats,repeatable_scene,repeatable,true,OAT - Severnye Ovsy,Разместить у игровой локации: OAT - Severnye Ovsy.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_004,QR-A1-KTG-004-R2T6,quest_a1_004,act1,KTG,node_well_city,always_available_scene,always_available,true,KTG - Kolodezny Torg,Разместить у игровой локации: KTG - Kolodezny Torg.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_005,QR-A1-MAG-005-V8N1,quest_a1_005,act1,MAG,node_spanish_magic,always_available_scene,always_available,true,MAG - Charodeysky Ugol,Разместить у игровой локации: MAG - Charodeysky Ugol.,leave_in_place_after_reward,pve72_v1,printed
qr_a1_006,QR-A1-EAZ-006-X3L5,quest_a1_006,act1,EAZ,node_fort_east,unique_object,consume_once,true,EAZ - Severnaya Zastava,Разместить у игровой локации: EAZ - Severnaya Zastava.,single_use_story_object,pve72_v1,printed
qr_a1_007,QR-A1-SCI-007-Z6B4,quest_a1_007,act1,SCI,node_science_barn,unique_object,consume_once,true,SCI - Dvukhyarusnaya Manufaktura,Разместить у игровой локации: SCI - Dvukhyarusnaya Manufaktura.,single_use_story_object,pve72_v1,printed
qr_a1_008,QR-A1-OAT-008-D1W9,quest_a1_008,act1,OAT,node_field_oats,unique_object,consume_once,true,OAT - Severnye Ovsy,Разместить у игровой локации: OAT - Severnye Ovsy.,single_use_story_object,pve72_v1,printed
qr_a1_009,QR-A1-TRV-009-H5S2,quest_a1_009,act1,TRV,node_forest_dark,unique_object,consume_once,true,TRV - Travnichya Roshcha,Разместить у игровой локации: TRV - Travnichya Roshcha.,single_use_story_object,pve72_v1,printed
qr_a1_010,QR-A1-KTG-010-J8F7,quest_a1_010,act1,KTG,node_well_city,unique_object,consume_once,true,KTG - Kolodezny Torg,Разместить у игровой локации: KTG - Kolodezny Torg.,single_use_story_object,pve72_v1,printed
