card_id,faction,row,type,strength,effect,rarity,ability_tags,name_group,bond_group,muster_group,display_name,effect_text,deck_limit,source_set
gwent_leader_foltest_king,northern,leader,leader,0,leader_foltest_fog,Leader,,gwent_leader_foltest_king,,,Фольтест: Король Темерии,Лидер: достает из колоды Непроницаемый туман и сразу применяет его.,1,witcher3_base
gwent_leader_wolf,northern,leader,leader,0,leader_foltest_clear_weather,Leader,,gwent_leader_wolf,,,Фольтест: Предводитель Севера,Лидер: убирает все погодные эффекты со стола.,1,witcher3_base
gwent_leader_foltest_siegemaster,northern,leader,leader,0,leader_foltest_siege_horn,Leader,,gwent_leader_foltest_siegemaster,,,Фольтест: Мастер осады,Лидер: удваивает силу вашего осадного ряда как командирский рог.,1,witcher3_base
gwent_leader_foltest_steel_forged,northern,leader,leader,0,leader_foltest_siege_scorch,Leader,,gwent_leader_foltest_steel_forged,,,Фольтест: Закаленный сталью,Лидер: казнит сильнейшие обычные карты осадного ряда соперника при сумме ряда 10+.,1,witcher3_base
gwent_leader_emhyr_emperor,nilfgaard,leader,leader,0,leader_emhyr_spy_hand,Leader,,gwent_leader_emhyr_emperor,,,Эмгыр вар Эмрейс: Император Нильфгаарда,Лидер: смотрит три случайные карты в руке соперника.,1,witcher3_base
gwent_leader_emhyr_imperial,nilfgaard,leader,leader,0,leader_emhyr_rain,Leader,,gwent_leader_emhyr_imperial,,,Эмгыр вар Эмрейс: Его императорское величество,Лидер: достает из колоды Ливень и сразу применяет его.,1,witcher3_base
gwent_leader_nilfgaard,nilfgaard,leader,leader,0,leader_emhyr_graveyard_theft,Leader,,gwent_leader_nilfgaard,,,Эмгыр вар Эмрейс: Неумолимый,Лидер: берет одну обычную карту из сброса соперника в вашу руку.,1,witcher3_base
gwent_leader_emhyr_white_flame,nilfgaard,leader,leader,0,leader_emhyr_cancel_leader,Leader,,gwent_leader_emhyr_white_flame,,,Эмгыр вар Эмрейс: Белое Пламя,Лидер: запрещает сопернику использовать способность его лидера.,1,witcher3_base
gwent_leader_francesca_daisy,scoiatael,leader,leader,0,leader_francesca_draw,Leader,,gwent_leader_francesca_daisy,,,Францеска Финдабаир: Маргаритка из Долин,Лидер: дает одну дополнительную карту в начале партии.,1,witcher3_base
gwent_leader_francesca_pureblood,scoiatael,leader,leader,0,leader_francesca_frost,Leader,,gwent_leader_francesca_pureblood,,,Францеска Финдабаир: Чистокровная эльфка,Лидер: достает из колоды Мороз и сразу применяет его.,1,witcher3_base
gwent_leader_francesca_queen,scoiatael,leader,leader,0,leader_francesca_melee_scorch,Leader,,gwent_leader_francesca_queen,,,Францеска Финдабаир: Королева Дол Блатанны,Лидер: казнит сильнейшие обычные карты ближнего ряда соперника при сумме ряда 10+.,1,witcher3_base
gwent_leader_scoiatael,scoiatael,leader,leader,0,leader_francesca_ranged_horn,Leader,,gwent_leader_scoiatael,,,Францеска Финдабаир: Прекрасная,Лидер: удваивает силу вашего дальнего ряда как командирский рог.,1,witcher3_base
gwent_leader_eredin_bringer,monsters,leader,leader,0,leader_eredin_graveyard_return,Leader,,gwent_leader_eredin_bringer,,,Эредин: Несущий смерть,Лидер: возвращает одну обычную карту из вашего сброса в руку.,1,witcher3_base
gwent_leader_monsters,monsters,leader,leader,0,leader_eredin_melee_horn,Leader,,gwent_leader_monsters,,,Эредин: Командир Красных Всадников,Лидер: удваивает силу вашего ближнего ряда как командирский рог.,1,witcher3_base
gwent_leader_eredin_destroyer,monsters,leader,leader,0,leader_eredin_discard_draw,Leader,,gwent_leader_eredin_destroyer,,,Эредин: Разрушитель миров,Лидер: сбрасывает две карты из руки и добирает одну карту из колоды.,1,witcher3_base
gwent_leader_eredin_king,monsters,leader,leader,0,leader_eredin_weather,Leader,,gwent_leader_eredin_king,,,Эредин: Король Дикой Охоты,Лидер: достает из колоды первую погодную карту и сразу применяет ее.,1,witcher3_base
gwent_unit_13,northern,siege,unit,6,none,Common,,gwent_unit_13,,,Баллиста,Без особого эффекта.,1,witcher3_base
gwent_unit_03,northern,melee,unit,4,tight_bond,Common,,blue_stripes_commando,blue_stripes_commando,,Боец Синих Полос,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
nr_blue_stripes_commando_2,northern,melee,unit,4,tight_bond,Common,,blue_stripes_commando,blue_stripes_commando,,Боец Синих Полос,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
nr_blue_stripes_commando_3,northern,melee,unit,4,tight_bond,Common,,blue_stripes_commando,blue_stripes_commando,,Боец Синих Полос,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
gwent_unit_16,northern,siege,unit,8,tight_bond,Common,,catapult,catapult,,Катапульта,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
nr_catapult_2,northern,siege,unit,8,tight_bond,Common,,catapult,catapult,,Катапульта,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
gwent_unit_12,northern,ranged,unit,5,tight_bond,Common,,crinfrid_reavers_dragon_hunter,crinfrid_reavers_dragon_hunter,,Охотник на драконов из Кринфрида,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
nr_crinfrid_reavers_dragon_hunter_2,northern,ranged,unit,5,tight_bond,Common,,crinfrid_reavers_dragon_hunter,crinfrid_reavers_dragon_hunter,,Охотник на драконов из Кринфрида,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
nr_crinfrid_reavers_dragon_hunter_3,northern,ranged,unit,5,tight_bond,Common,,crinfrid_reavers_dragon_hunter,crinfrid_reavers_dragon_hunter,,Охотник на драконов из Кринфрида,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
gwent_unit_10,northern,ranged,unit,6,none,Common,,gwent_unit_10,,,Детмольд,Без особого эффекта.,1,witcher3_base
gwent_unit_09,northern,siege,unit,5,medic,Uncommon,,gwent_unit_09,,,Лекарь Бурой Хоругви,Лекарь: выбирает обычную карту из вашего сброса и сразу играет ее.,1,witcher3_base
nr_esterad_thyssen,northern,melee,unit,10,hero,Hero,,nr_esterad_thyssen,,,Эстерад Тиссен,"Герой: не подвержен погоде, казни, рогу и большинству способностей.",1,witcher3_base
nr_john_natalis,northern,melee,unit,10,hero,Hero,,nr_john_natalis,,,Ян Наталис,"Герой: не подвержен погоде, казни, рогу и большинству способностей.",1,witcher3_base
gwent_unit_05,northern,siege,unit,1,morale,Common,,nr_kaedweni_siege_expert,,,Каэдвенский осадный мастер,Боевой дух: дает +1 всем другим обычным картам в этом ряду.,1,witcher3_base
nr_kaedweni_siege_expert_2,northern,siege,unit,1,morale,Common,,nr_kaedweni_siege_expert,,,Каэдвенский осадный мастер,Боевой дух: дает +1 всем другим обычным картам в этом ряду.,1,witcher3_base
nr_kaedweni_siege_expert_3,northern,siege,unit,1,morale,Common,,nr_kaedweni_siege_expert,,,Каэдвенский осадный мастер,Боевой дух: дает +1 всем другим обычным картам в этом ряду.,1,witcher3_base
gwent_unit_07,northern,ranged,unit,5,none,Common,,gwent_unit_07,,,Кейра Мец,Без особого эффекта.,1,witcher3_base
nr_philippa_eilhart,northern,ranged,unit,10,hero,Hero,,nr_philippa_eilhart,,,Филиппа Эйльхарт,"Герой: не подвержен погоде, казни, рогу и большинству способностей.",1,witcher3_base
nr_poor_fucking_infantry_1,northern,melee,unit,1,tight_bond,Common,,poor_fucking_infantry,poor_fucking_infantry,,Проклятая пехота,Связка: карты одной группы умножают свою силу друг на друга.,1,witcher3_base
