deck_id,player_id,leader_card_id,card_ids
deck_p_witcher_1_starter,p_witcher_1,gwent_leader_foltest_king,gwent_unit_01;nr_yarpen_zigrin;nr_poor_fucking_infantry_1;nr_poor_fucking_infantry_2;nr_poor_fucking_infantry_3;gwent_unit_03;nr_blue_stripes_commando_2;gwent_unit_02;nr_ves;gwent_unit_08;nr_sheldon_skaggs;gwent_unit_07;nr_sile_de_tansarville;gwent_unit_10;gwent_unit_12;gwent_unit_13;gwent_unit_11;gwent_unit_14;nr_trebuchet_2;gwent_unit_05;nr_kaedweni_siege_expert_2;gwent_unit_09
deck_p_witcher_2_starter,p_witcher_2,gwent_leader_wolf,gwent_unit_01;nr_yarpen_zigrin;nr_poor_fucking_infantry_1;nr_poor_fucking_infantry_2;gwent_unit_03;nr_blue_stripes_commando_2;nr_blue_stripes_commando_3;gwent_unit_02;nr_ves;gwent_unit_08;nr_sheldon_skaggs;gwent_unit_07;nr_sile_de_tansarville;gwent_unit_10;gwent_unit_12;nr_crinfrid_reavers_dragon_hunter_2;gwent_unit_13;gwent_unit_11;gwent_unit_14;gwent_unit_05;nr_kaedweni_siege_expert_2;nr_kaedweni_siege_expert_3
deck_p_witcher_3_starter,p_witcher_3,gwent_leader_emhyr_imperial,ng_albrich;ng_assire_var_anahid;ng_cahir;ng_cynthia;ng_etolian_auxiliary_archers_1;ng_fringilla_vigo;ng_impera_brigade_guard_1;ng_impera_brigade_guard_2;ng_morteisen;ng_nausicaa_cavalry_rider_1;ng_nausicaa_cavalry_rider_2;ng_puttkammer;ng_rainfarn;ng_renuald_aep_matsen;ng_rotten_mangonel;ng_siege_engineer_1;ng_siege_engineer_2;ng_sweers;ng_vanhemar;ng_vreemde;ng_young_emissary_1;ng_zerrikanian_fire_scorpion
deck_p_witcher_4_starter,p_witcher_4,gwent_leader_emhyr_emperor,ng_albrich;ng_assire_var_anahid;ng_cahir;ng_cynthia;ng_etolian_auxiliary_archers_1;ng_fringilla_vigo;ng_impera_brigade_guard_1;ng_impera_brigade_guard_2;ng_morteisen;ng_nausicaa_cavalry_rider_1;ng_nausicaa_cavalry_rider_2;ng_puttkammer;ng_rainfarn;ng_renuald_aep_matsen;ng_rotten_mangonel;ng_siege_engineer_1;ng_siege_engineer_2;ng_sweers;ng_vanhemar;ng_vreemde;ng_young_emissary_2;ng_zerrikanian_fire_scorpion
deck_p_witcher_5_starter,p_witcher_5,gwent_leader_emhyr_white_flame,ng_albrich;ng_assire_var_anahid;ng_cahir;ng_cynthia;ng_fringilla_vigo;ng_impera_brigade_guard_1;ng_impera_brigade_guard_2;ng_impera_brigade_guard_3;ng_morteisen;ng_nausicaa_cavalry_rider_1;ng_nausicaa_cavalry_rider_2;ng_nausicaa_cavalry_rider_3;ng_puttkammer;ng_rainfarn;ng_renuald_aep_matsen;ng_rotten_mangonel;ng_siege_engineer_1;ng_siege_engineer_2;ng_sweers;ng_vanhemar;ng_vreemde;ng_zerrikanian_fire_scorpion
deck_p_witcher_6_starter,p_witcher_6,gwent_leader_francesca_pureblood,gwent_unit_17;sc_ciaran;sc_dennis_cranmer;sc_dol_blathanna_archer;sc_dol_blathanna_scout_1;sc_dol_blathanna_scout_2;gwent_unit_18;sc_dwarven_skirmisher_2;sc_elven_skirmisher_1;sc_elven_skirmisher_2;sc_havekar_healer_1;sc_havekar_healer_2;sc_havekar_smuggler_1;sc_havekar_smuggler_2;sc_ida_emean;sc_mahakaman_defender_1;sc_mahakaman_defender_2;sc_mahakaman_defender_3;sc_riordain;sc_toruviel;sc_vrihedd_brigade_recruit;sc_vrihedd_brigade_veteran_1
deck_p_witcher_7_starter,p_witcher_7,gwent_leader_francesca_pureblood,gwent_unit_17;sc_ciaran;sc_dennis_cranmer;sc_dol_blathanna_archer;sc_dol_blathanna_scout_2;sc_dol_blathanna_scout_3;sc_dwarven_skirmisher_2;sc_dwarven_skirmisher_3;sc_elven_skirmisher_2;sc_elven_skirmisher_3;sc_havekar_healer_2;sc_havekar_healer_3;sc_havekar_smuggler_2;sc_havekar_smuggler_3;sc_ida_emean;sc_mahakaman_defender_2;sc_mahakaman_defender_3;sc_mahakaman_defender_4;sc_riordain;sc_toruviel;sc_vrihedd_brigade_recruit;sc_vrihedd_brigade_veteran_2
deck_p_sorc_1_starter,p_sorc_1,gwent_leader_francesca_pureblood,gwent_unit_17;sc_ciaran;sc_dennis_cranmer;sc_dol_blathanna_archer;sc_dol_blathanna_scout_1;sc_dol_blathanna_scout_3;gwent_unit_18;sc_dwarven_skirmisher_3;sc_elven_skirmisher_1;sc_elven_skirmisher_3;sc_havekar_healer_1;sc_havekar_healer_3;sc_havekar_smuggler_1;sc_havekar_smuggler_3;sc_ida_emean;sc_mahakaman_defender_1;sc_mahakaman_defender_4;sc_mahakaman_defender_5;sc_toruviel;sc_vrihedd_brigade_recruit;sc_vrihedd_brigade_veteran_1;sc_riordain
deck_p_sorc_2_starter,p_sorc_2,gwent_leader_eredin_destroyer,mo_botchling;mo_celaeno_harpy;mo_cockatrice;mo_earth_elemental;mo_endrega;mo_fiend;mo_fire_elemental;mo_foglet;mo_forktail;mo_frightener;mo_gargoyle;mo_grave_hag;mo_griffin;mo_harpy;mo_ice_giant;mo_plague_maiden;mo_werewolf;mo_wyvern;mo_arachas_1;mo_arachas_2;mo_ghoul_1;mo_ghoul_2
deck_p_sorc_3_starter,p_sorc_3,gwent_leader_eredin_king,mo_botchling;mo_celaeno_harpy;mo_cockatrice;mo_earth_elemental;mo_endrega;mo_fiend;mo_fire_elemental;mo_foglet;mo_forktail;mo_frightener;mo_gargoyle;mo_grave_hag;mo_griffin;mo_harpy;mo_ice_giant;mo_plague_maiden;mo_werewolf;mo_wyvern;mo_vampire_bruxa;mo_vampire_ekimmara;gwent_unit_19;gwent_unit_20
