node_id,name,node_type,zone_status,territory_id
node_res_north,North Residence,residence,active_new_house,territory_res_north
node_res_river,River Residence,residence,active_new_house,territory_res_river
node_res_forest,Forest Residence,residence,active_new_house,territory_res_forest
node_res_hill,Hill Residence,residence,active_new_house,territory_res_hill
node_fort_east,Severnaya Zastava,fort,active_new_house,territory_fort_east
node_fort_west,Zapadny Ostrog,fort,active_new_house,territory_fort_west
node_fort_southwest,Yuzhnaya Krep,fort,active_new_house,territory_fort_southwest
node_field_oats,Severnye Ovsy,field,active_new_house,territory_field_oats
node_field_west_large,Levoberezhnye Pashni,field,active_new_house,territory_field_west_large
node_field_east_large,Pravye Pashni,field,active_new_house,territory_field_east_large
node_village_barn,Sennoy Posad,village_barn,active_new_house,territory_village_barn
node_village_east_shed,Vostochnaya Sloboda,village_barn,active_new_house,territory_village_east_shed
node_well_city,Kolodezny Torg,resource_city,active_new_house,territory_well_city
node_spanish_magic,Charodeysky Ugol,magic_city,active_new_house,territory_magic_corner
node_science_barn,Dvukhyarusnaya Manufaktura,science_city,active_new_house,territory_science_barn
node_forest_dark,Travnichya Roshcha,forest,active_new_house,territory_forest_dark
node_forest_south_garden,Nizhny Sad,forest,active_new_house,territory_forest_south_garden
node_lake_mist,Zerkalny Prud,lake,active_new_house,territory_lake_mist
node_lake_south_pond,Lunnaya Zavod,lake,active_new_house,territory_lake_south_pond
node_swamp_black,Chernaya Top,swamp,active_new_house,territory_swamp_black
node_mountain_north_alpine,Severny Kryazh,mountain,active_new_house,territory_mountain_north_alpine
node_mountain_gray,Sery Dozor,mountain,active_new_house,territory_mountain_gray
node_mountain_west_alpine,Volchy Utes,mountain,active_new_house,territory_mountain_west_alpine
node_old_house,Old House,no_play_zone,no_play_excluded,
node_adjacent_shed,Adjacent Shed,no_play_zone,no_play_excluded,
