rule_id,material_id,scene_type,tier,weight,min_quantity,max_quantity,result_filter
drop_herbs_any_t1,mat_herbs,any,1,28,1,2,any
drop_salt_any_t1,mat_alchemical_salt,any,1,22,1,2,any
drop_old_metal_lord_t1,mat_old_metal,lord_hook,1,18,1,2,any
drop_silver_monster_t1,mat_silver_dust,monster_hunt,1,16,1,1,success_or_partial
drop_blood_monster_t1,mat_monster_blood,monster_hunt,1,18,1,1,success_or_partial
drop_herbs_any_t2,mat_herbs,any,2,20,1,3,any
drop_salt_any_t2,mat_alchemical_salt,any,2,18,1,2,any
drop_silver_monster_t2,mat_silver_dust,monster_hunt,2,20,1,2,success_or_partial
drop_blood_monster_t2,mat_monster_blood,monster_hunt,2,20,1,2,success_or_partial
drop_rune_magic_t2,mat_rune_shard,sorceress_hook,2,10,1,1,success_or_partial
drop_old_metal_order_t2,mat_old_metal,order_object,2,14,1,2,any
drop_curse_npc_t2,mat_curse_ash,npc_deal,2,8,1,1,success_or_partial
drop_light_moral_t2,mat_light_essence,moral_choice,2,8,1,1,success_or_partial
drop_silver_monster_t3,mat_silver_dust,monster_hunt,3,18,1,2,success_or_partial
drop_blood_monster_t3,mat_monster_blood,monster_hunt,3,18,1,3,success_or_partial
drop_rune_magic_t3,mat_rune_shard,sorceress_hook,3,14,1,2,success_or_partial
drop_rune_puzzle_t3,mat_rune_shard,puzzle_check,3,12,1,1,success_or_partial
drop_curse_npc_t3,mat_curse_ash,npc_deal,3,12,1,2,success_or_partial
drop_light_moral_t3,mat_light_essence,moral_choice,3,12,1,2,success_or_partial
drop_old_metal_lord_t3,mat_old_metal,lord_hook,3,16,1,3,any
drop_rune_artifact_t4,mat_rune_shard,artifact,4,18,1,2,success_or_partial
drop_curse_final_t4,mat_curse_ash,npc_deal,4,18,1,2,success_or_partial
drop_light_final_t4,mat_light_essence,final_scene,4,18,1,2,success_or_partial
drop_silver_final_t4,mat_silver_dust,monster_hunt,4,16,1,3,success_or_partial
