qr_id,manual_code,scenario_id,qr_mode,act_id,location_node_id,physical_presence_required,rate_limit,consumption_rule
qr_a1_001,QR-A1-TRV-001-K7Q2,scn_a1_001,repeatable_scene,act1,node_forest_dark,true,5_per_minute,repeatable
qr_a1_002,QR-A1-SNP-002-M4Y8,scn_a1_002,repeatable_scene,act1,node_village_barn,true,5_per_minute,repeatable
qr_a1_003,QR-A1-OAT-003-P9C3,scn_a1_003,repeatable_scene,act1,node_field_oats,true,5_per_minute,repeatable
qr_a1_004,QR-A1-KTG-004-R2T6,scn_a1_004,always_available_scene,act1,node_well_city,true,5_per_minute,always_available
qr_a1_005,QR-A1-MAG-005-V8N1,scn_a1_005,always_available_scene,act1,node_spanish_magic,true,5_per_minute,always_available
qr_a1_006,QR-A1-EAZ-006-X3L5,scn_a1_006,unique_object,act1,node_fort_east,true,5_per_minute,consume_once
qr_a1_007,QR-A1-SCI-007-Z6B4,scn_a1_007,unique_object,act1,node_science_barn,true,5_per_minute,consume_once
qr_a1_008,QR-A1-OAT-008-D1W9,scn_a1_008,unique_object,act1,node_field_oats,true,5_per_minute,consume_once
qr_a1_009,QR-A1-TRV-009-H5S2,scn_a1_009,unique_object,act1,node_forest_dark,true,5_per_minute,consume_once
qr_a1_010,QR-A1-KTG-010-J8F7,scn_a1_010,unique_object,act1,node_well_city,true,5_per_minute,consume_once
qr_a1_011,QR-A1-WOS-011-L2G6,scn_a1_011,unique_object,act1,node_fort_west,true,5_per_minute,consume_once
qr_a1_012,QR-A1-MAG-012-N9D4,scn_a1_012,unique_object,act1,node_spanish_magic,true,5_per_minute,consume_once
qr_a2_013,QR-A2-TRV-013-B4K8,scn_a2_013,repeatable_scene,act2,node_forest_dark,true,5_per_minute,repeatable
qr_a2_014,QR-A2-SNP-014-C7M1,scn_a2_014,repeatable_scene,act2,node_village_barn,true,5_per_minute,repeatable
qr_a2_015,QR-A2-OAT-015-F2P9,scn_a2_015,repeatable_scene,act2,node_field_oats,true,5_per_minute,repeatable
qr_a2_016,QR-A2-SCI-016-G6R3,scn_a2_016,always_available_scene,act2,node_science_barn,true,5_per_minute,always_available
qr_a2_017,QR-A2-MAG-017-H1V5,scn_a2_017,always_available_scene,act2,node_spanish_magic,true,5_per_minute,always_available
qr_a2_018,QR-A2-EAZ-018-J4X8,scn_a2_018,unique_object,act2,node_fort_east,true,5_per_minute,consume_once
qr_a2_019,QR-A2-SCI-019-K9Z2,scn_a2_019,unique_object,act2,node_science_barn,true,5_per_minute,consume_once
qr_a2_020,QR-A2-KTG-020-L3D7,scn_a2_020,unique_object,act2,node_well_city,true,5_per_minute,consume_once
qr_a2_021,QR-A2-CHT-021-M8F4,scn_a2_021,unique_object,act2,node_swamp_black,true,5_per_minute,consume_once
qr_a2_022,QR-A2-ZPR-022-N2H6,scn_a2_022,unique_object,act2,node_lake_mist,true,5_per_minute,consume_once
qr_a2_023,QR-A2-SNP-023-P7J1,scn_a2_023,unique_object,act2,node_village_barn,true,5_per_minute,consume_once
qr_a2_024,QR-A2-MAG-024-R5L9,scn_a2_024,unique_object,act2,node_spanish_magic,true,5_per_minute,consume_once
qr_a2_025,QR-A2-SDO-025-S1N3,scn_a2_025,unique_object,act2,node_mountain_gray,true,5_per_minute,consume_once
qr_a2_026,QR-A2-WOS-026-T6Q8,scn_a2_026,unique_object,act2,node_fort_west,true,5_per_minute,consume_once
qr_a3_027,QR-A3-TRV-027-B8R2,scn_a3_027,repeatable_scene,act3,node_forest_dark,true,5_per_minute,repeatable
qr_a3_028,QR-A3-SNP-028-C3T9,scn_a3_028,repeatable_scene,act3,node_village_barn,true,5_per_minute,repeatable
qr_a3_029,QR-A3-OAT-029-D7V4,scn_a3_029,repeatable_scene,act3,node_field_oats,true,5_per_minute,repeatable
qr_a3_030,QR-A3-SCI-030-F1X6,scn_a3_030,always_available_scene,act3,node_science_barn,true,5_per_minute,always_available
qr_a3_031,QR-A3-MAG-031-G9Z1,scn_a3_031,always_available_scene,act3,node_spanish_magic,true,5_per_minute,always_available
qr_a3_032,QR-A3-EAZ-032-H4B8,scn_a3_032,unique_object,act3,node_fort_east,true,5_per_minute,consume_once
qr_a3_033,QR-A3-SDO-033-J2D5,scn_a3_033,unique_object,act3,node_mountain_gray,true,5_per_minute,consume_once
