fort_id,territory_id,name,theme,garrison_capacity,art_prompt_id,background_asset_id,card_asset_id
fort_territory_res_north,territory_res_north,North Residence,node_res_north,7,prompt_node_res_north,asset_bg_node_res_north,asset_card_node_res_north
fort_territory_res_river,territory_res_river,River Residence,node_res_river,7,prompt_node_res_river,asset_bg_node_res_river,asset_card_node_res_river
fort_territory_res_forest,territory_res_forest,Forest Residence,node_res_forest,7,prompt_node_res_forest,asset_bg_node_res_forest,asset_card_node_res_forest
fort_territory_res_hill,territory_res_hill,Hill Residence,node_res_hill,7,prompt_node_res_hill,asset_bg_node_res_hill,asset_card_node_res_hill
fort_territory_fort_east,territory_fort_east,Severnaya Zastava,node_fort_east,7,prompt_node_fort_east,asset_bg_node_fort_east,asset_card_node_fort_east
fort_territory_fort_west,territory_fort_west,Zapadny Ostrog,node_fort_west,7,prompt_node_fort_west,asset_bg_node_fort_west,asset_card_node_fort_west
fort_territory_fort_southwest,territory_fort_southwest,Yuzhnaya Krep,node_fort_southwest,7,prompt_node_fort_southwest,asset_bg_node_fort_southwest,asset_card_node_fort_southwest
fort_territory_field_oats,territory_field_oats,Severnye Ovsy,node_field_oats,5,prompt_node_field_oats,asset_bg_node_field_oats,asset_card_node_field_oats
fort_territory_field_west_large,territory_field_west_large,Levoberezhnye Pashni,node_field_west_large,5,prompt_node_field_west_large,asset_bg_node_field_west_large,asset_card_node_field_west_large
fort_territory_field_east_large,territory_field_east_large,Pravye Pashni,node_field_east_large,5,prompt_node_field_east_large,asset_bg_node_field_east_large,asset_card_node_field_east_large
fort_territory_village_barn,territory_village_barn,Sennoy Posad,node_village_barn,5,prompt_node_village_barn,asset_bg_node_village_barn,asset_card_node_village_barn
fort_territory_village_east_shed,territory_village_east_shed,Vostochnaya Sloboda,node_village_east_shed,5,prompt_node_village_east_shed,asset_bg_node_village_east_shed,asset_card_node_village_east_shed
fort_territory_well_city,territory_well_city,Kolodezny Torg,node_well_city,6,prompt_node_well_city,asset_bg_node_well_city,asset_card_node_well_city
fort_territory_magic_corner,territory_magic_corner,Charodeysky Ugol,node_spanish_magic,6,prompt_node_spanish_magic,asset_bg_node_spanish_magic,asset_card_node_spanish_magic
fort_territory_science_barn,territory_science_barn,Dvukhyarusnaya Manufaktura,node_science_barn,6,prompt_node_science_barn,asset_bg_node_science_barn,asset_card_node_science_barn
fort_territory_forest_dark,territory_forest_dark,Travnichya Roshcha,node_forest_dark,6,prompt_node_forest_dark,asset_bg_node_forest_dark,asset_card_node_forest_dark
fort_territory_forest_south_garden,territory_forest_south_garden,Nizhny Sad,node_forest_south_garden,6,prompt_node_forest_south_garden,asset_bg_node_forest_south_garden,asset_card_node_forest_south_garden
fort_territory_lake_mist,territory_lake_mist,Zerkalny Prud,node_lake_mist,5,prompt_node_lake_mist,asset_bg_node_lake_mist,asset_card_node_lake_mist
fort_territory_lake_south_pond,territory_lake_south_pond,Lunnaya Zavod,node_lake_south_pond,5,prompt_node_lake_south_pond,asset_bg_node_lake_south_pond,asset_card_node_lake_south_pond
fort_territory_swamp_black,territory_swamp_black,Chernaya Top,node_swamp_black,6,prompt_node_swamp_black,asset_bg_node_swamp_black,asset_card_node_swamp_black
fort_territory_mountain_north_alpine,territory_mountain_north_alpine,Severny Kryazh,node_mountain_north_alpine,8,prompt_node_mountain_north_alpine,asset_bg_node_mountain_north_alpine,asset_card_node_mountain_north_alpine
fort_territory_mountain_gray,territory_mountain_gray,Sery Dozor,node_mountain_gray,6,prompt_node_mountain_gray,asset_bg_node_mountain_gray,asset_card_node_mountain_gray
fort_territory_mountain_west_alpine,territory_mountain_west_alpine,Volchy Utes,node_mountain_west_alpine,6,prompt_node_mountain_west_alpine,asset_bg_node_mountain_west_alpine,asset_card_node_mountain_west_alpine
